List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Flour, Ghee, Sugar",Mysore Pak,35,South Indian,"Besan (gram flour) is roasted in ghee until fragrant. A sugar syrup is prepared by boiling sugar and water until it reaches a one-string consistency. The roasted besan is gradually added to the syrup, followed by more hot ghee. Stirring continuously, the mixture is cooked until it leaves the sides of the pan. It is poured into a greased tray, cooled, and cut into squares.",22.3,18,5,Kulfi
"Mango, Condensed Milk, Cream",Mango Kulfi,45,Indian,"Milk is simmered over low heat until it thickens. Sugar, condensed milk, and cardamom are added. Fresh mango puree is stirred into the mixture. It is poured into molds and frozen until set. Pistachios or almonds may be added for garnish.",13.4,25,5,Fruit Juice
"Flour, Sugar, Butter",Churros,30,Spanish,"combining water, butter, flour, sugar, and a pinch of salt into a dough that's piped into hot oil and fried until golden brown. Once fried, they are coated in cinnamon sugar for a sweet, crispy exterior. Served warm with chocolate sauce or dulce de leche for dipping, they make a delicious treat.",5.2,22,4,Kulfi
"Cashews, Sugar, Silver Leaf",Kaju Katli,40,Indian,"Cashews are ground into powder and mixed with sugar syrup, cooked until thick. Ghee is added, and the mixture is kneaded and rolled out. After cooling slightly, it is cut into diamond shapes.",29,26,6,Soft Drink
"Rose Syrup, Sabja Seeds, Milk",Falooda,30,Mughlai,"Basil seeds are soaked, and vermicelli is boiled. Chilled milk is mixed with rose syrup, and the layers are assembled with ice cream, fruits, or jelly. The drink is garnished and served cold.",6.1,25,7,Kulfi
"Dark Chocolate, Whipped Cream",Chocolate Lava Cake,40,French,"Dark chocolate and butter are melted and mixed with eggs, sugar, and flour. The batter is poured into ramekins and baked briefly. The result is a cake with a molten chocolate center when cut.",29,17,5,Soft Drink
"Ricotta, Honey, Nuts",Italian Cannoli,45,Italian,"The dough is rolled thin, cut into ovals, and fried into crisp shells. A sweetened ricotta filling is prepared with vanilla and orange zest. The shells are filled with ricotta and garnished with pistachios or chocolate chips.",26.3,17,7,Fruit Juice
"Carrots, Sugar, Ghee",Gajar Ka Halwa,45,North Indian,Grated carrots are cooked in ghee and milk until soft and creamy. Sugar and cardamom are added for sweetness and flavor. The dish is garnished with chopped nuts for added texture.,7.4,20,4,Soft Drink
"Espresso, Chocolate, Milk",Mocha,15,Italian,"Espresso is mixed with hot chocolate syrup, then combined with steamed milk. It is topped with whipped cream and dusted with cocoa powder. The result is a rich, creamy coffee-chocolate drink.",28,15,6,Kulfi
"Turmeric, Honey, Black Pepper",Haldi Doodh,10,Ayurvedic,"Milk is heated with turmeric, ginger, and black pepper, then sweetened with honey or jaggery. The mixture is simmered to blend the flavors. It's served warm as a soothing, golden drink.",25.6,21,5,Soft Drink
"Lemongrass, Ginger, Tea Leaves",Lemongrass Ginger Tea,15,Herbal,Lemongrass and ginger are simmered in water to extract their flavors. Honey or sugar is added for sweetness. The tea is strained and served hot with a dash of lemon.,28.2,17,5,Milkshake
"Mint, Cucumber, Lemon",Detox Water,5,Healthy,"Cucumber, lemon, and mint are infused in cold water for several hours. The ingredients release their flavors, creating a refreshing, hydrating drink. Additional fruits or herbs can be added for variation.",15.1,17,7,Fruit Juice
"Coconut, Pineapple, Yogurt",Coconut Smoothie,10,Tropical,"Fresh coconut water and flesh are blended together with fruits like banana or pineapple. Yogurt or almond milk is added for creaminess. Ice is blended in for a refreshing, tropical smoothie.",15.8,16,7,Fruit Juice
"Chocolate, Banana, Peanut Butter",Protein Shake,10,Gym Diet,"Protein powder is blended with milk or water, along with optional fruits, peanut butter, or cocoa. The ingredients are mixed to create a smooth, protein-packed drink. Ice cubes are added for a chilled beverage",4.8,26,5,Fruit Juice
"Apple, Cinnamon, Honey",Warm Spiced Apple Juice,15,Winter Special,"Apple juice is heated with cinnamon, cloves, and star anise. Brown sugar or honey is stirred in for sweetness. The mixture is strained and served warm as a spiced, comforting drink.",28.1,29,3,Fruit Juice
"Watermelon, Mint, Lime",Watermelon Cooler,10,Summer Drink,"Fresh watermelon is blended into juice and mixed with lime juice and mint. Ice cubes are added to chill the drink. The result is a refreshing, hydrating beverage perfect for hot days.",25,29,5,Fruit Juice
"Carrot, Ginger, Turmeric",Immunity Booster Juice,10,Ayurvedic,"Oranges, carrots, and ginger are juiced together with a splash of lemon juice. Honey is added for sweetness. The juice is a vibrant, vitamin-rich drink for boosting immunity.",22.3,17,7,Fruit Juice
"Coffee, Ice, Caramel",Caramel Frappe,15,Caf  Special,"Coffee is blended with milk, ice, and caramel syrup. A bit of sugar is added to sweeten. The drink is topped with whipped cream and extra caramel sauce for a sweet, chilled treat.",10.1,20,3,Kulfi
"Mushrooms, Garlic, Cream",Creamy Mushroom Soup,35,French,"Mushrooms are Sauteed with garlic and onions, then blended with vegetable or chicken stock. Cream is added for richness, and the soup is seasoned with salt and herbs. It's pureed for a smooth, creamy texture.",20.5,17,7,Milkshake
"Lentils, Cumin, Tomatoes",Middle Eastern Lentil Soup,40,Arabic,"Lentils are cooked with onions, garlic, carrots, and spices like cumin. The soup is simmered until tender, then blended to create a creamy base. Lemon juice is added for a touch of acidity.",21.2,19,3,Fruit Juice
"Fish, Coconut, Curry Leaves",Kerala Fish Soup,45,South Indian,"Fish is marinated with turmeric and salt, then cooked in a coconut milk-based broth. Mustard seeds, curry leaves, and spices enhance the flavor. The soup is finished with fresh coriander and chilies.",24.9,20,7,Soft Drink
"Sweet Corn, Chicken, Egg",Sweet Corn Chicken Soup,30,Indo-Chinese,"Sweet corn and chicken are simmered in broth with soy sauce and seasonings. A cornflour slurry thickens the soup, and egg whites are added for silky texture. It's garnished with spring onions.",23.4,19,5,Fruit Juice
"Tomatoes, Basil, Garlic",Roasted Tomatoes Soup,35,Italian,"Tomatoes, garlic, and onions are roasted for depth of flavor, then blended with stock. Cream is added for richness, and the soup is seasoned with herbs. It's served smooth with a drizzle of cream.",11.1,26,4,Kheer
"Cabbage, Carrots, Miso",Miso Soup,20,Japanese,"Dashi stock is made from kombu and bonito flakes, then mixed with miso paste. Tofu cubes and seaweed are added, and the soup is simmered gently. It's served hot, often garnished with green onions.",24.4,29,5,Milkshake
"Potatoes, Leeks, Cream",Potato Leek Soup,40,French,"Leeks and onions are Sauteed in butter, then potatoes and stock are added and simmered. The soup is blended until smooth, with cream stirred in for richness. It's seasoned and garnished with fresh chives.",6,30,12,Soft Drink
